发信人,时间,内容
#NAME?,2018/7/1 3:51,@小滴管理员-沫沫?
??????????:fire::fire::fire:,2018/7/1 3:51,那能弄
#NAME?,2018/7/1 3:51,我申诉失败了
冒险王,2018/7/1 3:51,我这不抱着侥幸心理了我换了家我就说把你爹你妈逼这么多少钱啊你钱干来你就到时候就四五百块钱的事，干嘛呀我给他们也没有去你扣一个月车你要不要命你说这个，
张总,2018/7/1 3:51,哎呀卧槽你们一说说的我也害怕了，
冒险王,2018/7/1 3:51,这些东西啊就看你点正不正啊，你一点这样就没事你点这个有可能唉你你这个屁股后边你你你你下乘客都没事，我那年我就我就春节的时候我在北京站我讲我我就在执法车前后边就把他就在我旁边听着呢那个那个里头坐着人的我就我就上下乘客拿着他不过来问了你知道吗你没事可以过来一会，那不就完了吗，对不对那不就给你拿下了吗？
冒险王,2018/7/1 3:51,是没抓着都没事抓到了就有事了，呵呵就现在你你你别忘了今天第一天开始啊怎么告诉你把这所有的疯狗甭管这疯狗加疯狗还还有假风口的就全上街了，知道吗，他们的密度很大啊，这就等于在河里撒鱼撒网撒得好的平时那么多出那么湿为你说你这个落网之鱼，您老落网，
#NAME?,2018/7/1 3:51,成交率也到83了！晕
张总,2018/7/1 3:51,你这家伙你说我这个没有休了我他的休完了在休他妈的个屁出去了就在修，
冒险王,2018/7/1 3:52,你如果大家出发你说我在天安门，在那个就那个叫什么南长街吧南长街，我刚一停一下撒我都没看见他就把车子从哪过来的我刚一听那乘客还没下车呢马上就打就敲前面了，直接和我前面了我差了我这没反应过来呢，正好那乘客一下车了滴滴打车门子他妈的他直接就坐车里来了你知道吗你跑都没地儿的话，
#NAME?,2018/7/1 3:52,堵车乘客取消还申诉不成功
flm,2018/7/1 3:52,哈吃力
冒险王,2018/7/1 3:52,这个就是没的老的时候啊永远是觉得没事儿，好一堆过的你知道吗，就知道有事儿没事儿找我原来干一到时候要干了她妈逼一年多的一道，我从一四年下半年开始干干到一五一五年的下半年啊干了一年的一道我也没呆的过，但是我们群里好几个都还滴滴，
flm,2018/7/1 3:52,下礼拜二公司献血
flm,2018/7/1 3:52,要调理一下身体了
张海杰,2018/7/1 3:53,思路决定出路，脑袋决定口袋，布局决定结局[强][强][强]好文章，分享给大家
??????????:fire::fire::fire:,2018/7/1 3:53,先啥血
冒险王,2018/7/1 3:53,那就是说去机场说那什么说那个，好几个在机场的我查了我说她妈逼我天天跑机场，我一天怎么逼得跑了一趟机场我这我这么为什么我就没上我我没去过出发腾，我全进那个停车场，所以说呢他也没到那我也侥幸呗就是，但是这并不代表这个就安全，
??????????:fire::fire::fire:,2018/7/1 3:53,不好弄个
美团A,2018/7/1 3:53,@江桥多伦多?
flm,2018/7/1 3:53,公司部门轮流的
??????????:fire::fire::fire:,2018/7/1 3:53,弄党元啊
请付款！,2018/7/1 3:53,@美团A?
小滴管理员-沫沫,2018/7/1 3:53,@-林子琪ヽ摆渡人????  好的
请付款！,2018/7/1 3:53,600
flm,2018/7/1 3:53,麻痹
flm,2018/7/1 3:53,今年轮到我了
flm,2018/7/1 3:53,是啊
??????????:fire::fire::fire:,2018/7/1 3:53,表去
张总,2018/7/1 3:53,唉机场好长时间不去了啊屏蔽了呢，火车站也好长时间不去了，
??????????:fire::fire::fire:,2018/7/1 3:54,出钱
flm,2018/7/1 3:54,必须去的
张总,2018/7/1 3:54,这样嘉华一说说的这样怎么太害怕了这家伙，
美团A,2018/7/1 3:54,你只跑易到吗
flm,2018/7/1 3:54,好休息七天
flm,2018/7/1 3:54,再拿5000
??????????:fire::fire::fire:,2018/7/1 3:54,弄个高血压
?瑩:kissing_heart:寶?,2018/7/1 3:54,你先帮我现在在ｐｌａｎ不快钱二百二十快钱，还有我都不想跑了，我在睡觉，
flm,2018/7/1 3:54,弄不出来
flm,2018/7/1 3:54,公司刚体检好
小滴客服 - 小美,2018/7/1 3:54,@刘永付18311396230京EBN356 这个起点是在南站您去不了是吧，还是目的地无法过去。您设置页面给我截图下
小滴客服 - 小美,2018/7/1 3:54,@刘永付18311396230京EBN356 这个起点是在南站您去不了是吧，还是目的地无法过去。您设置页面给我截图下
张总,2018/7/1 3:54,马甲了你没跑啊，
何付奎17710583288,2018/7/1 3:55,@小滴客服 - 小美?今天太忙了，太辛苦了[咖啡][玫瑰]
小滴客服 - 小美,2018/7/1 3:55,@快乐相伴 那我也是非常理解您的心情，我也是很相信的。
小滴客服 - 小美,2018/7/1 3:55,@快乐相伴 那我也是非常理解您的心情，我也是很相信的。
高会祥（17502166131）,2018/7/1 3:55,悲催好几天了！终于正常了！
??????????:fire::fire::fire:,2018/7/1 3:55,体检时弄高血压
冒险王,2018/7/1 3:55,你说你接着你接着单子对不对你就目的地就是敏感的地方你说你你怎么办你取消你还要怎么着是不是啊不好弄，
"S,",2018/7/1 3:55,招工吗招工我都要回复你看一下呢，干嘛呢这类东西发那个呢，
^o^平安^o^,2018/7/1 3:55,哎呀关键这不是说说的害怕他是现在人家政府就是这个政策政治今天头一天开始实行，大家活着这就是是不是怎么也得表现表现啊执法部门，
______?壊疍ゞ,2018/7/1 3:57,应该不管你的底下跑跑步跑了几把他才不玩了，
张总,2018/7/1 3:57,那咋办啊你还有假吗？
______?壊疍ゞ,2018/7/1 3:57,以后也不用了啊，
??????????:fire::fire::fire:,2018/7/1 3:57,夜里跟你波胆啊
flm,2018/7/1 3:57,还没看呢
张总,2018/7/1 3:57,唉今天跑了也就是给刀尖上跑的单晶害怕呀，
??????????:fire::fire::fire:,2018/7/1 3:57,看好跟个説
冒险王,2018/7/1 3:58,这个他也不是不可能就是老这么严，他也就俩撑死了就是啊，一个礼拜然后呢他又恢复常态了就跟原来是的啊，这个是重点那几个区域，他要什么天天要这么着咱们类似这种呀操，再说了他她天天这么长福他他停车场他就他妈放不下停车场都不够用的你像一定要要扣他一半给他，一个月每辆车都搁一个月他一天他扯了他找那么多涨停，
冒险王,2018/7/1 3:58,所以说人没人的几天一天都在输好吧，
花:leaves:落情定,2018/7/1 3:58,大神们怎么买
改  变  自  我,2018/7/1 3:58,对啊啊在泛海这让他们给他们栓住了，
小滴客服 - 小美,2018/7/1 3:58,@何付奎17710583288 谢谢奎哥关心，没事的~~
小滴客服 - 小美,2018/7/1 3:58,@何付奎17710583288 谢谢奎哥关心，没事的~~
冒险王,2018/7/1 3:59,没劲啊你请假没我都说了吗是不是那个什么玩意儿病假吧，唯有假都可以请啊你请呗，
??????????:fire::fire::fire:,2018/7/1 3:59,全买
奎哥,2018/7/1 3:59,我朋友被逮到，扣车30天停车费一天50吓的我都不敢出车
何付奎17710583288,2018/7/1 3:59,我朋友被逮到，扣车30天停车费一天50吓的我都不敢出车
何付奎17710583288,2018/7/1 3:59,@京p6tn83张心祥13466582623?是真的吗
高大章,2018/7/1 4:00,再减去3元油钱，还是很不错的
张总,2018/7/1 4:00,哎呀我那个正好也是星期天假吧请几天假回家把这个驾驶本该验了我是大本他妈扣分也得扣扣着差不多了，回家再好好学习几天呢，
邢伟17502153996,2018/7/1 4:00,@谢永恒13052247001?我真担心给你又派到南京[抠鼻]
特价-苹果8P:smile:1500元批发价,2018/7/1 4:00,［微信红包］恭喜发财 大吉大利！:heart_eyes:苹果8p、苹果x 隆重来袭。各套餐亏本大放送:heart_eyes:买一送一。欲购从速。错过机会再等一年:heart_eyes:加我。加我[勾引][玫瑰]免费招代理（包赚）。一件代发。不需囤货:fire:[色]换群。换群，250人以下。
高会祥（17502166131）,2018/7/1 4:00,这次该去北京了！
珍惜拥有,2018/7/1 4:01,我不给你发过去了吗？我截图了，他的上车点在南站
刘永付18311396230京EBN356,2018/7/1 4:01,我不给你发过去了吗？我截图了，他的上车点在南站
幸运的唐小贱,2018/7/1 4:01,日本赢
邢伟17502153996,2018/7/1 4:01,应该是
冒险王,2018/7/1 4:02,你的大本你怎么还要扣我分呢，那我的家人也大部分我多少年都没扣过分了，处理违章啥你找别的本儿啊，找别人的本刷不，
花:leaves:落情定,2018/7/1 4:02,你敢买日本啊
小滴客服 - 小美,2018/7/1 4:02,@刘永付18311396230京EBN356 您设置的界面，设置不听机场单的那个~~这个应该是您在这附近。所以起点在这边，目的地不会给您派往机场火车站的。
花:leaves:落情定,2018/7/1 4:02,比利时很强的
谢永恒13052247001,2018/7/1 4:02,我来了也不去
天涯创客,2018/7/1 4:03,比亚迪秦也不好，没电很难开，还到处找不到充电桩
高会祥（17502166131）,2018/7/1 4:03,北京去过后就该东京了！
衡希,2018/7/1 4:04,现在充电很麻烦了，广州多了好多充电的车都是充电的，排队啊，他们说了，
衡希,2018/7/1 4:04,男的那个是阿拉蕾啊，
男人的执着,2018/7/1 4:04,传说中的杀人钉
快乐相伴,2018/7/1 4:04,@小滴客服 - 小美?还要谢谢你！添麻烦了顺其自然吧！
刘永付18311396230京EBN356,2018/7/1 4:04,，机场车站的送车站的接站的都派过
快乐相伴,2018/7/1 4:04,@小滴客服 - 小美?还要谢谢你！添麻烦了顺其自然吧！
漆七18326545979,2018/7/1 4:05,路口让我等
张总,2018/7/1 4:05,玩了大半以前也没扣过分，我给她用别人的本儿，找了别人的本儿扣的也没办法，靠我的扣了，怎么是扣了学习是学习呢，
小滴客服 - 小美,2018/7/1 4:05,@刘永付18311396230京EBN356 正常如果是送往目的地是机场火车站的，这样可以反馈给我，如果再有。这个您现在的单您先申诉吧
小滴客服 - 小美,2018/7/1 4:05,@刘永付18311396230京EBN356 正常如果是送往目的地是机场火车站的，这样可以反馈给我，如果再有。这个您现在的单您先申诉吧
小滴客服 - 小美,2018/7/1 4:06,@快乐相伴 非常理解您的心情，也希望您平复下心情。我肯定是相信您的
寳寳达人,2018/7/1 4:06,私家车3万？
露露,2018/7/1 4:06,亲们[爱心]给大家介绍这款游戏真心不错，娱乐赚钱两不误[强][强][强]首次下载免费领取现金币，下分率超高。赢了还可直接提现，输了可以不玩。唯一官方下载地址www.es6china.com/j007a.html?pid=hqxal8&cid=1127&sid=110027 第一次下载有送金币哦
高会祥（17502166131）,2018/7/1 4:06,那就等呗，你是优秀的滴滴司机12万大奖得主下次有可能是你！！！！
别,2018/7/1 4:07,怎么跑这么，怎么一直都不想跑，
幸运的唐小贱,2018/7/1 4:07,这届世界杯不能按照正常逻辑来了
A我随心动,2018/7/1 4:08,有没有在的 过来抽烟
王有胜17502119313,2018/7/1 4:08,空放机场
含笑半步钉,2018/7/1 4:08,@男人的执着?
卌除記憶,2018/7/1 4:09,@祥子金融服务?怎么做
黄辉,2018/7/1 4:10,你们那个比较地区的国电比较的行程充满的话要多少钱啊，ｏｋ，
高会祥（17502166131）,2018/7/1 4:11,咋突然暂停了！
尚卫斌,2018/7/1 4:12,嗯我有我这边有一个群里所有有八十多少人今天全没出去包工了，
龙睿,2018/7/1 4:13,今天看来出不了山了我都在蓝山，好不容易出的快出了来单了他们又回到南山这里面来了，
龙睿,2018/7/1 4:13,感觉有百分要放空几十公里过去了，
含笑半步钉,2018/7/1 4:13,@男人的执着?博紧命啊老友
刘永付18311396230京EBN356,2018/7/1 4:14,能申诉回来吗？如果申诉不回来也就没啥用了
快乐相伴,2018/7/1 4:14,@小滴客服 - 小美?谢谢！一直都用最好的态度服务去面对每一位顾客！多少次忍气吞声的！却拉下了被冤枉的下场！别说是部破手机！你是块金砖老子也不稀罕！做人是有原则的！
花开花谢,2018/7/1 4:14,好啊他等一下拍个单派到十二点这个抓紧派个单派给他登啊在东莞跑去广州，两百就把你搞到广州去了，
男人的执着,2018/7/1 4:14,我们谁跟ｂｏｂ两个补贴的有几个，否则高血压，
刘永付18311396230京EBN356,2018/7/1 4:15,刚捡了一手机，绕了一圈，又给他送回去了，好吗？他掉到后座地上了
深海,2018/7/1 4:15,@小滴客服 - 小美?，我这个好象不分工作日非工作日，我早就休完了，要连续干12天才达标
深海,2018/7/1 4:15,@小滴客服 - 小美?，我这个好象不分工作日非工作日，我早就休完了，要连续干12天才达标
地道川味香肠腊肉13648002783,2018/7/1 4:15,感冒早起排长队三万五，
张总,2018/7/1 4:15,没办法呀，或者大班他妈的又有一次交通事故警察查她妈逼我那个啥那个保险，那就没那个表吗，扣了我一分考了我一会儿我也看着没办法就接着扣吧咱扣了吗那个逼的草他的学习好好学去学的挺麻烦的还挺，
冒险王,2018/7/1 4:15,今天活肯定多
请付款！,2018/7/1 4:15,嗯！
尚卫斌,2018/7/1 4:15,哇塞何止是多啊你看地图到处怎么样儿了，
冒险王,2018/7/1 4:15,拉奖励的美了
尚卫斌,2018/7/1 4:15,你他妈昨晚下雨怀抱，
冒险王,2018/7/1 4:16,[捂脸]
深海,2018/7/1 4:16,已经3天了还差9天，到9号才达标
深海,2018/7/1 4:16,已经3天了还差9天，到9号才达标
王静,2018/7/1 4:16,亲们[爱心]给大家介绍这款游戏真心不错，娱乐赚钱两不误[强][强][强]首次下载免费领取现金币，下分率超高。赢了还可直接提现，输了可以不玩。唯一官方下载地址www.es6china.com/j007a.html?pid=hqxal8&cid=1127&sid=110027 第一次下载有送金币哦
深海,2018/7/1 4:16,是不是版本不一样的缘故
冒险王,2018/7/1 4:17,这可是全国性质的吧，还是就北京今天严啊
少帅,2018/7/1 4:17,北漂一族怎么啦你看见专车的了，
奋斗,2018/7/1 4:17,@小滴客服 - 小美?我的调度率 给我发信息说恢复了 手机APP没有恢复呢
秦吉伟15567289598京QH6H69,2018/7/1 4:17,@小滴客服 - 小美?我的调度率 给我发信息说恢复了 手机APP没有恢复呢
小滴客服 - 小美,2018/7/1 4:18,@秦吉伟15567289598京QH6H69 那您先等等明天看看呢^_^
小滴客服 - 小美,2018/7/1 4:18,@秦吉伟15567289598京QH6H69 那您先等等明天看看呢^_^
深海,2018/7/1 4:18,前年我开专车时一个女白领落我车上一双破鞋让我跑十几公里给他送回去，
冒险王,2018/7/1 4:18,唉对了他的停车费是怎么算的停车费是在他这个扣的一个月是不收费吧是是国家出的钱然后呢，超过这一个月是不是你停车费是客人承担呀，
祥子金融服务,2018/7/1 4:18,@卌除記憶?你要做什么
蒋洪,2018/7/1 4:18,对啊他这个客户车子被扣三十天我操那么在还得教学费啊，那这是什么的一个厉害，
尚卫斌,2018/7/1 4:19,他那个停车费是一天七十五啊八十呢，三十五算的，反正一个下来几千块钱吧，
尚卫斌,2018/7/1 4:19,还了奖励的尾巴它赶出去了吗，她最后一当然一了我擦钓鱼了，那怎么奖励三十五，罚款三万五，哥们那么早找谁估计科技万一夜车加上几千块停车费，
尚卫斌,2018/7/1 4:19,所以说洗洗睡吧，该想想照相个像这样想着我该回家的回家啊能干不能干拉倒，还建设美丽北京的北京不需要咱接着来赶紧回家吧啊，
卌除記憶,2018/7/1 4:19,信用卡可能办
蒋洪,2018/7/1 4:19,ａｖａｔａ，如果是车的话题这位她政府自己出，我们一些课程扣了两天都没有说提车费的事啊，
谁是小溜溜！,2018/7/1 4:19,[抠鼻]
谁是小溜溜！,2018/7/1 4:19,出来吹牛逼啊
奎哥,2018/7/1 4:20,@深海?那是告诉你想和你搞破鞋，这意思还不明白
何付奎17710583288,2018/7/1 4:20,@深海?那是告诉你想和你搞破鞋，这意思还不明白
蒋洪,2018/7/1 4:20,嗯我准备睡一大觉，其实就看看这他妈的他抓了一个白天抓了多少次了啊我看晚上不可能还继续抓吧，提这个都发不过来了停车场，
天涯创客,2018/7/1 4:20,十度电，十七块
衡希,2018/7/1 4:20,没吊用啊，匆忙来了，下次用完那个电的有用吗？
尚卫斌,2018/7/1 4:20,你放心把停车场还能放不过来却每天这么多事儿呢他丫停车，想法挺好听，只要有地方他都能听，
衡希,2018/7/1 4:21,你没听到发字那个老板说吗，比亚迪曾这是曾在的存在开了，
小乐子,2018/7/1 4:21,@小滴管理员-沫沫?司机都罢工了，滴滴公司怎么办
衡希,2018/7/1 4:21,[偷笑]
天涯创客,2018/7/1 4:21,我们都是家里充，才六块钱
焕若,2018/7/1 4:21,这什么情况？
冒险王,2018/7/1 4:21,蒋红啊蒋和啊你今天发表言论你从一开始你就老说以前现在跟以前不一样了呢新郑以前给新郑以后能影响你自己看一看心就以后我就扣你三十天的车然后我刚才我没看明白，他有一个什么玩意儿是那个国家出，好像应该是三十天之内是国家出超过了三十天，刚才是自己出，
尚卫斌,2018/7/1 4:21,里面要扣两天没收你钱，浪费我的车，我好几个朋友一直想给扣扣好长时间了，客户窗口他就提出了反调了，听到很轻的会教的，开车去吗，都有停车会他不可能免费听音乐一般停车场他空着也是空着还不是说这钱他们自己落了，
尚卫斌,2018/7/1 4:21,你们可以关注一下那个滴滴那公众号你关注他的公众号以后他那边有那个车新政说明一些规定采用，
深海,2018/7/1 4:21,搞破鞋也得找个漂亮好看的啊，那女的标准的猪腰子脸
何付奎17710583288,2018/7/1 4:22,这好事我怎么赶不上呢
深海,2018/7/1 4:22,搞破鞋也得找个漂亮好看的啊，那女的标准的猪腰子脸
衡希,2018/7/1 4:22,这么少吗，我在房东那里充啊好像一个月也要五六百块我只是每天晚上都充满了，
何付奎17710583288,2018/7/1 4:22,@深海?那是看上你了
小滴管理员-沫沫,2018/7/1 4:22,@祥哥+137179132883 没听说罢工啊
衡希,2018/7/1 4:22,不过房东收我的那个电费是一块一度，
(小王)     小样／给（爷）笑个$,2018/7/1 4:22,南京就这样
(小王)     小样／给（爷）笑个$,2018/7/1 4:22,人家有证的
天涯创客,2018/7/1 4:23,我们才六毛一
Pepsicola,2018/7/1 4:23,有证怕毛
深海,2018/7/1 4:23,你想搞还不简单，我们村有3百斤的老母猪呢[憨笑]
何付奎17710583288,2018/7/1 4:23,哈哈
戴家锭,2018/7/1 4:23,@含笑半步钉?
焕若,2018/7/1 4:23,本地人吗？
衡希,2018/7/1 4:23,六毛多也不止了啊要是都都电网吧好像我充了十五六度的，
MJ,2018/7/1 4:23,[呲牙]我还正常接单呢
小乐子,2018/7/1 4:23,明天你就看着吧
焕若,2018/7/1 4:23,外地人弄不到证吧
奎哥,2018/7/1 4:23,@深海?你试过了可用吗
小滴管理员-沫沫,2018/7/1 4:23,@祥哥+137179132883  好的
何付奎17710583288,2018/7/1 4:23,@深海?你试过了可用吗
祥子金融服务,2018/7/1 4:24,这是正规军的车
谢永恒13052247001,2018/7/1 4:24,@沈阿康?
祥子金融服务,2018/7/1 4:24,这是正规军
天涯创客,2018/7/1 4:24,我们秦七十，刚开始十四度电，但现在只能充十度电了
男人的执着,2018/7/1 4:24,传说中的杀人钉
祥子金融服务,2018/7/1 4:24,各种手续齐全抓个屁，
焕若,2018/7/1 4:25,那我们就是土八路喽:smile: 
何付奎17710583288,2018/7/1 4:25,@深海?太远还是在你村留着吧，近水楼台先得月。
吕哥,2018/7/1 4:25,我也正常接单呢，连个警察影子都没看见[呲牙]
Kevin Guo,2018/7/1 4:25,五十公里了，哇这个区域才一百二十块钱，
爱^_^拼:pray|type_6:才:muscle:会^_^赢,2018/7/1 4:25,七十七十，气死气死，名字都不行
深海,2018/7/1 4:26,跟老何你比较配套
深海,2018/7/1 4:26,[坏笑]
齐天大圣,2018/7/1 4:26,没看见
张周,2018/7/1 4:26,首汽贵呀
奎哥,2018/7/1 4:26,@深海?哈哈
深海,2018/7/1 4:26,跟老何你比较配套
深海,2018/7/1 4:26,[坏笑]
何付奎17710583288,2018/7/1 4:26,@深海?哈哈
张周,2018/7/1 4:26,滴滴便宜 最便宜的了
天涯创客,2018/7/1 4:26,[白眼][白眼][白眼]你可以说七0
陈陈,2018/7/1 4:26,有在外面跑着的吗？
祥子金融服务,2018/7/1 4:26,@焕若?土八路都算不上
天涯创客,2018/7/1 4:26,清零
De~,2018/7/1 4:27,@小滴管理员-花花?带宠物的可以拒绝不
祥子金融服务,2018/7/1 4:27,伪军
做人，输在计较，赢在格局，张忠雨,2018/7/1 4:27,有
龙睿,2018/7/1 4:27,可以了还想多少钱给你两块两块多接近三块钱一公里不错了，
做人，输在计较，赢在格局，张忠雨,2018/7/1 4:27,我在呢
陈陈,2018/7/1 4:27,有在外面跑着的吗？
做人，输在计较，赢在格局，张忠雨,2018/7/1 4:27,我在呢
做人，输在计较，赢在格局，张忠雨,2018/7/1 4:27,有
陈陈,2018/7/1 4:27,你不算
陈陈,2018/7/1 4:27,你不算
何付奎17710583288,2018/7/1 4:27,那你给弄过来
深海,2018/7/1 4:27,@何付奎17710583288?，这几天这么严你还不先回家看看去顺便避避风
小滴管理员-花花,2018/7/1 4:27,可以友好的拒绝@De~ 
爱^_^拼:pray|type_6:才:muscle:会^_^赢,2018/7/1 4:27,[偷笑]
笑看人生,2018/7/1 4:27,@小滴管理员-小月月?
奎哥,2018/7/1 4:27,我老婆就在北京
何付奎17710583288,2018/7/1 4:27,我老婆就在北京
爱^_^拼:pray|type_6:才:muscle:会^_^赢,2018/7/1 4:28,秦100就不用充电是吧
深海,2018/7/1 4:28,弄过来那不便宜你了
天涯创客,2018/7/1 4:28,如果是跑机场，就不用充电，上广州一趟就可以充百分之三十的电
花开花谢,2018/7/1 4:28,下课了么，应该支付五十公里就给五十块钱多好，你也好是别人也好算了，
:+1:梁山挂车直销,2018/7/1 4:28,山东梁山挂车直销！本公司以高质量！低价位定做各种轻体半挂车，长13米，宽2.55米，高60兰板车，整车自重5.5吨左右，保拉50吨，13米的花栅半挂车整车自重5.9吨左右，保拉60吨，公司选用上海宝钢，常做11米，13米的侧翻，骨架式隐形侧翻。各种骨架车，集装箱，飞翼箱，有双飞，单飞的两种，。11.5―13米勾机板。6/8位轿运车，还有不同尺过的平板后翻。挂车直销各种轻体挂车、轻量化设计高强钢材制作、仓栏自重6吨保拉50吨、宽2.55米的公告、60公分栏板花篮侧翻.9米侧翻，10米侧翻.11米侧翻.13米侧翻.8米后翻，8.5米后翻.9米后翻.9.2米后翻.13米勾机板，20-53英尺骨架车.轿运运输车.散装水泥罐车.以及各种特种车和以重换轻！诚招各大运输公司和汽贸合作.欢迎新老顾客前来洽谈订购[握手]、订车热线18254715193电话同微信
深海,2018/7/1 4:28,弄过来那不便宜你了
何付奎17710583288,2018/7/1 4:28,前几天一起回老家的呆了4天
深海,2018/7/1 4:29,再休给你踢出保障
深海,2018/7/1 4:29,再休给你踢出保障
Kevin Guo,2018/7/1 4:29,什么情况啊刚好拍个车和儿子都多到深圳北站的我好回家吃饭了给我取消了，
Kevin Guo,2018/7/1 4:29,取消和滴滴计算过年郑浩的退出来了因为我重新登录啊，
深海,2018/7/1 4:29,你刚才说你哥们被抓了
深海,2018/7/1 4:29,你刚才说你哥们被抓了
奎哥,2018/7/1 4:29,我这月今天才开始
何付奎17710583288,2018/7/1 4:29,我这月今天才开始
花开花谢,2018/7/1 4:29,应该怎样作弊了再，
爱^_^拼:pray|type_6:才:muscle:会^_^赢,2018/7/1 4:29,这车跟老婆是一样的，总是别人的好
奎哥,2018/7/1 4:29,上月完成了
何付奎17710583288,2018/7/1 4:29,上月完成了
花:leaves:落情定,2018/7/1 4:30,那就不能买
天涯创客,2018/7/1 4:30,七月新优惠来啦
花:leaves:落情定,2018/7/1 4:30,头脑搞坏了
爱^_^拼:pray|type_6:才:muscle:会^_^赢,2018/7/1 4:30,用习惯了都还行
壹贱妳就笑 ,2018/7/1 4:30,哦你说还能被抢哦赔钱哦，这是个，
深海,2018/7/1 4:30,我得到9号一天不能休
花:leaves:落情定,2018/7/1 4:30,干了我一万多了[流泪]
深海,2018/7/1 4:30,我得到9号一天不能休
东方耳,2018/7/1 4:30,又有人想过月子[憨笑]
天涯创客,2018/7/1 4:31,还是雷凌好，要不新轩逸
回不了神,2018/7/1 4:31,ｌ垃圾，一五就是垃圾啊，一天充两三次电我靠那搞个毛线，还是有这样很多的，不用充电就花多点钱了，
奎哥,2018/7/1 4:31,我现在就在家待着呢[转圈][发抖][跳跳]我连呆6天，看看风声
小滴管理员-小月月,2018/7/1 4:31,@笑看人生 
戴家锭,2018/7/1 4:31,我地都是少惹啊满
蒋洪,2018/7/1 4:31,哎呦，上床了准备睡一大觉还琢磨着要晚上再出去干的这么干不干干脆就别干了几天的了，里面有下好没有，接着我刚把他把车擦的锃光那样的，去加满油了准备晚上好好泡个屁啊对吧，
笑看人生,2018/7/1 4:31,隔了个乘客，他妈的自己在直路走了没有几百米，那就不认识路了，我按导航走了，哦他有说怎么有又这样子，
何付奎17710583288,2018/7/1 4:31,我现在就在家待着呢[转圈][发抖][跳跳]我连呆6天，看看风声
笑看人生,2018/7/1 4:31,我按导航走她又说我怎么，按导航走他说导航是死的，那我就导航是什么我不认识我看导航的时候你就，
"S,",2018/7/1 4:32,网红了吗？
男人的执着,2018/7/1 4:32,钉哥稳紧奶粉钱
何付奎17710583288,2018/7/1 4:32,@深海?你山东运城的和国母是亲戚你怕谁
(小王)     小样／给（爷）笑个$,2018/7/1 4:32,不是上海的
笑看人生,2018/7/1 4:32,安导航走他的导航是死的人是活的那人是好的那就你就自己指路的我说你自己又不认识路是吧我也不认识路啊，
小滴管理员-小月月,2018/7/1 4:32,@笑看人生 正常按导航行驶即可
"S,",2018/7/1 4:32,@男人的执着?距个女都3/4年级咯。奶粉条毛。
小滴客服 - 小美,2018/7/1 4:32,@刘永付18311396230京EBN356 可以先试试呢
笑看人生,2018/7/1 4:32,刚开始他只是对线路吗走了几百米吗，还是不认识路了，
小滴客服 - 小美,2018/7/1 4:32,@刘永付18311396230京EBN356 可以先试试呢
小滴客服 - 小美,2018/7/1 4:33,@快乐相伴 非常理解您，您也消消气
小滴客服 - 小美,2018/7/1 4:33,@快乐相伴 非常理解您，您也消消气
东方耳,2018/7/1 4:33,今天是党的生日[坏笑][坏笑]
笑看人生,2018/7/1 4:33,到达余地点到我他还要去别的地方我是不去了已经到了终点了，对啊，再去别的地方的话他有又有又在要投诉了投诉我说绕路什么的啊是不是，
笑看人生,2018/7/1 4:33,就是前面那个订单呢，
深海,2018/7/1 4:33,我认识她她不认识我啊
深海,2018/7/1 4:34,我认识她她不认识我啊
戴家锭,2018/7/1 4:34,"@S,?你迟早死啊满手里"
小滴客服 - 小美,2018/7/1 4:34,@深海 恩您已经休息了六天了
小滴客服 - 小美,2018/7/1 4:34,@深海 恩您已经休息了六天了
笑看人生,2018/7/1 4:34,不按导航走又说瑜伽要六是吧，按导航走又说导航是死的什么样，真烦这种人，
男人的执着,2018/7/1 4:34,冇仔吖，甘想稳一百二十万要来做咩呀
高会祥（17502166131）,2018/7/1 4:34,等待是最长情的告白！是乘客对你的信任和关爱！看见你的疲惫他只能用这种方式让你休息！
奎哥,2018/7/1 4:34,据相关资料统计，今天截止到下午4点。首机已经查处67辆车了[微笑]
何付奎17710583288,2018/7/1 4:34,据相关资料统计，今天截止到下午4点。首机已经查处67辆车了[微笑]
??馮 鈺朙??,2018/7/1 4:34,我明天上上医院去挂个泌尿科检查检查去，我操，今天他妈的这个订单我从开机，这个都没有想过就订单多的很，一泡尿，我操，找半天厕所没找到还没弄完他妈的订单已刚收拾，刚刚乘客刚下车了下一订单的进来了我操不行我明天就去建大见大几毕业，死我了啊，
淡定,2018/7/1 4:34,这个滴滴啊，提前先算了你提前跟你说了，现在要么都不干要么就来这么差的地方呢啊没事儿，
戴家锭,2018/7/1 4:34,@男人的执着?嫁妆
深海,2018/7/1 4:35,是的美女
深海,2018/7/1 4:35,是的美女
淡定,2018/7/1 4:35,我尽量出来了我三年我才出来，我只要一看擦擦擦那一样都没出来我三点钟才出来，
飍（二）,2018/7/1 4:35,@何付奎17710583288?都活该
飍（二）,2018/7/1 4:35,@何付奎17710583288?都活该
飍（二）,2018/7/1 4:35,都是不怕死的
深海,2018/7/1 4:35,67辆多吗
深海,2018/7/1 4:35,67辆多吗
深海,2018/7/1 4:35,北京网约车十几万
深海,2018/7/1 4:35,北京网约车十几万
Bocky,2018/7/1 4:35,@含笑半步钉?[強]
